unix_ts,avg_latency_ms,throughput
1458757890,4.484004,64
1458757891,4.298409,232
1458757892,4.484877,223
1458757893,4.587855,218
1458757894,4.498676,222
1458757895,4.538581,219
1458757896,4.557009,220
1458757897,4.633686,216
1458757898,4.396694,227
1458757899,4.621301,217
1458757900,4.524466,221
1458757901,4.594128,217
1458757902,4.617156,217
1458757903,4.670691,214
1458757904,4.586600,218
1458757905,4.583382,217
1458757906,4.688668,214
1458757907,4.629460,215
1458757908,4.528328,221
1458757909,4.626603,216
1458757910,4.580167,219
1458757911,4.673123,214
1458757912,4.640516,215
1458757913,4.639665,216
1458757914,4.718423,211
1458757915,4.543591,220
1458757916,4.689957,214
1458757917,4.565722,215
1458757918,4.628910,219
1458757919,4.776986,210
1458757920,4.659037,214
1458757921,4.606457,217
1458757922,4.593098,217
1458757923,4.707425,212
1458757924,4.647798,215
1458757925,4.643295,215
1458757926,4.535980,221
1458757927,4.309431,232
1458757928,4.619920,216
1458757929,4.371139,229
1458757930,4.438484,225
1458757931,4.501576,222
1458757932,4.430605,226
1458757933,4.641582,215
1458757934,4.593010,218
1458757935,4.847239,206
1458757936,4.747693,211
1458757937,4.889848,204
1458757938,4.600074,217
1458757939,4.709222,213
1458757940,4.747884,210
1458757941,4.562379,219
1458757942,4.658775,215
1458757943,4.610537,217
1458757944,4.677363,213
1458757945,4.631372,216
1458757946,4.624082,216
1458757947,4.683906,214
1458757948,4.615459,216
1458757949,4.757923,210
1458757950,4.594733,218
1458757951,4.640833,215
1458757952,4.696934,213
1458757953,4.739676,211
1458757954,4.666449,214
1458757955,4.607767,217
1458757956,4.584657,218
1458757957,4.530785,220
1458757958,4.413734,227
1458757959,4.460267,224
1458757960,4.378586,228
1458757961,4.496749,222
1458757962,4.439991,224
1458757963,4.552605,220
1458757964,4.663769,215
1458757965,4.679524,213
1458757966,4.586096,218
1458757967,4.671332,214
1458757968,4.686663,213
1458757969,4.597930,216
1458757970,4.520876,222
1458757971,4.748862,211
1458757972,4.653063,214
1458757973,4.617380,217
1458757974,4.682219,213
1458757975,4.638555,216
1458757976,4.703435,212
1458757977,4.634201,216
1458757978,4.634785,215
1458757979,4.746790,211
1458757980,4.430240,226
1458757981,4.541219,220
1458757982,4.461320,223
1458757983,4.500198,223
1458757984,4.423470,225
1458757985,4.479932,224
1458757986,4.546378,219
1458757987,4.414543,227
1458757988,4.595732,217
1458757989,4.516755,222
1458757990,4.529789,220
1458757991,4.526571,221
1458757992,4.559752,219
1458757993,4.559831,219
1458757994,4.517854,221
1458757995,4.513350,222
1458757996,4.552788,219
1458757997,4.262655,235
1458757998,4.555454,219
1458757999,4.520244,221
1458758000,4.547745,220
1458758001,4.635723,215
1458758002,4.708423,213
1458758003,4.648432,215
1458758004,4.795471,208
1458758005,4.704166,213
1458758006,4.582055,217
1458758007,4.490216,223
1458758008,4.521130,221
1458758009,4.571756,218
1458758010,4.330276,232
1458758011,4.420888,226
1458758012,4.358504,229
1458758013,4.543249,220
1458758014,4.514737,221
1458758015,4.508143,222
1458758016,4.834282,206
1458758017,4.627712,216
1458758018,4.596925,218
1458758019,4.544161,219
1458758020,4.455266,225
1458758021,4.566989,219
1458758022,4.595467,217
1458758023,4.720583,212
1458758024,4.690528,212
1458758025,4.536407,221
1458758026,4.506813,222
1458758027,4.544892,220
1458758028,4.397653,227
1458758029,4.439989,225
1458758030,4.353769,229
1458758031,4.362236,229
1458758032,4.425084,226
1458758033,4.386067,228
1458758034,4.265337,234
1458758035,4.315990,232
1458758036,4.315488,231
1458758037,4.341703,230
1458758038,4.481787,223
1458758039,4.401017,227
1458758040,4.287070,234
1458758041,4.503786,221
1458758042,4.445562,225
1458758043,4.525309,221
1458758044,4.487465,223
1458758045,4.537449,220
1458758046,4.646167,215
1458758047,4.479478,221
1458758048,4.452019,225
1458758049,4.592467,219
1458758050,4.551861,219
1458758051,4.456450,223
1458758052,4.531377,222
1458758053,4.579958,218
1458758054,4.602949,217
1458758055,4.623326,216
1458758056,4.670520,214
1458758057,4.668478,215
1458758058,4.611669,216
1458758059,4.506179,222
1458758060,4.474597,223
1458758061,4.723756,211
1458758062,4.616806,215
1458758063,4.529175,223
1458758064,4.544113,219
1458758065,4.543749,221
1458758066,4.625979,216
1458758067,4.470098,223
1458758068,4.409354,227
1458758069,4.463553,224
1458758070,4.398934,226
1458758071,4.493659,223
1458758072,4.361388,229
1458758073,4.266910,233
1458758074,4.353884,230
1458758075,4.452288,223
1458758076,4.649119,216
1458758077,4.595541,217
1458758078,4.649141,215
1458758079,4.576173,219
1458758080,4.612342,216
1458758081,4.671084,214
1458758082,4.592198,218
1458758083,4.678098,213
1458758084,4.732045,211
1458758085,4.690213,213
1458758086,4.587314,218
1458758087,4.558077,219
1458758088,4.477801,223
1458758089,4.382960,228
1458758090,4.632093,216
1458758091,4.654466,215
1458758092,4.542726,220
1458758093,4.557713,219
1458758094,4.489630,222
1458758095,4.647111,216
1458758096,4.414056,226
1458758097,4.371231,228
1458758098,4.548723,220
1458758099,4.735873,211
1458758100,4.598769,217
1458758101,4.489422,222
1458758102,4.493234,223
1458758103,4.639273,216
1458758104,4.626657,215
1458758105,4.449719,225
1458758106,4.372514,228
1458758107,4.264059,235
1458758108,4.521959,221
1458758109,4.520391,221
1458758110,4.547152,219
1458758111,4.600754,217
1458758112,4.528817,221
1458758113,4.618870,216
1458758114,4.461487,224
1458758115,4.645229,215
1458758116,4.426482,226
1458758117,4.407913,226
1458758118,4.552014,126
