unix_ts,avg_latency_ms,throughput
1458757815,13.021351,13
1458757816,14.669485,69
1458757817,14.199301,70
1458757818,13.857661,72
1458757819,14.155144,71
1458757820,13.764958,73
1458757821,13.783243,72
1458757822,13.726855,73
1458757823,13.487712,74
1458757824,14.370130,70
1458757825,13.782453,72
1458757826,13.744337,73
1458757827,14.133778,70
1458757828,14.378315,70
1458757829,14.284070,70
1458757830,14.395045,70
1458757831,14.637570,68
1458757832,14.450892,69
1458757833,14.531104,69
1458757834,14.397510,69
1458757835,14.126538,71
1458757836,14.113058,71
1458757837,14.503586,69
1458757838,14.621472,68
1458757839,14.218627,71
1458757840,15.042446,66
1458757841,14.467638,69
1458757842,14.416802,69
1458757843,14.994769,67
1458757844,13.759270,73
1458757845,14.211051,70
1458757846,14.788489,68
1458757847,14.430908,69
1458757848,14.619156,68
1458757849,14.923142,67
1458757850,14.651334,69
1458757851,14.704574,68
1458757852,14.899318,66
1458757853,14.294103,70
1458757854,14.644146,69
1458757855,14.363809,69
1458757856,14.367563,70
1458757857,14.161210,71
1458757858,15.027791,66
1458757859,14.417979,70
1458757860,14.476599,69
1458757861,14.903899,67
1458757862,14.487714,69
1458757863,14.272284,70
1458757864,14.759979,68
1458757865,14.661322,67
1458757866,14.470338,70
1458757867,14.655566,68
1458757868,14.329326,70
1458757869,14.050528,71
1458757870,14.708726,68
1458757871,14.707188,68
1458757872,14.331231,70
1458757873,14.493692,69
1458757874,14.522335,69
1458757875,14.262102,70
1458757876,14.203612,70
1458757877,14.267443,70
1458757878,14.046765,71
1458757879,14.400647,70
1458757880,14.399432,69
1458757881,14.397237,70
1458757882,14.237853,70
1458757883,14.422700,69
1458757884,14.601216,68
1458757885,14.324254,70
1458757886,14.224471,70
1458757887,14.172613,71
1458757888,13.812220,73
1458757889,14.634819,68
1458757890,14.256924,70
1458757891,13.916693,72
1458757892,14.374612,69
1458757893,13.817858,72
1458757894,14.033813,72
1458757895,14.324019,70
1458757896,13.739759,73
1458757897,14.035261,71
1458757898,14.216827,70
1458757899,14.149510,71
1458757900,13.792262,72
1458757901,14.796545,68
1458757902,14.269357,70
1458757903,14.532299,69
1458757904,14.554817,68
1458757905,14.503883,69
1458757906,14.440164,69
1458757907,14.173300,71
1458757908,14.557219,69
1458757909,14.215128,70
1458757910,14.558332,69
1458757911,14.569458,68
1458757912,14.182946,71
1458757913,14.758855,68
1458757914,14.426582,69
1458757915,14.446409,68
1458757916,14.986737,68
1458757917,14.458132,69
1458757918,14.657259,67
1458757919,14.695099,69
1458757920,14.507401,69
1458757921,14.185664,71
1458757922,14.609895,68
1458757923,14.716646,68
1458757924,14.345290,70
1458757925,14.618088,68
1458757926,14.553176,69
1458757927,14.287647,70
1458757928,14.579184,68
1458757929,14.417878,70
1458757930,14.221152,70
1458757931,14.600668,68
1458757932,14.439689,70
1458757933,14.195507,70
1458757934,14.542388,69
1458757935,14.702948,68
1458757936,14.350763,69
1458757937,14.554704,69
1458757938,14.957247,67
1458757939,14.087474,71
1458757940,14.508945,69
1458757941,14.557183,68
1458757942,14.206590,71
1458757943,14.171676,70
1458757944,14.556815,69
1458757945,14.191724,71
1458757946,14.648726,68
1458757947,14.698678,67
1458757948,14.494012,70
1458757949,14.614641,68
1458757950,14.156258,71
1458757951,14.246857,70
1458757952,15.006203,67
1458757953,14.429837,69
1458757954,14.309707,70
1458757955,14.517010,69
1458757956,14.438745,69
1458757957,14.498020,69
1458757958,14.600061,68
1458757959,14.578764,69
1458757960,14.314942,70
1458757961,14.515292,69
1458757962,14.440342,69
1458757963,14.606127,68
1458757964,15.013138,67
1458757965,14.744591,68
1458757966,14.431693,69
1458757967,14.730873,67
1458757968,14.599701,69
1458757969,14.430155,69
1458757970,14.747319,68
1458757971,14.206601,71
1458757972,14.583330,68
1458757973,14.493924,68
1458757974,15.066783,68
1458757975,14.367061,69
1458757976,14.781346,68
1458757977,14.914387,67
1458757978,14.624098,68
1458757979,15.165582,66
1458757980,15.126863,66
1458757981,14.817349,68
1458757982,14.182347,70
1458757983,13.903344,72
1458757984,13.848755,72
1458757985,14.162432,71
1458757986,14.291783,70
1458757987,14.043691,71
1458757988,13.676296,73
1458757989,13.953329,71
1458757990,13.802721,73
1458757991,14.197219,71
1458757992,14.187285,70
1458757993,14.261851,70
1458757994,13.926341,72
1458757995,14.305742,70
1458757996,13.623700,73
1458757997,13.384580,75
1458757998,13.523817,74
1458757999,13.432988,74
1458758000,13.953519,72
1458758001,13.885926,72
1458758002,13.511309,74
1458758003,13.735986,73
1458758004,13.120581,76
1458758005,13.355210,75
1458758006,13.474162,74
1458758007,13.757512,73
1458758008,14.130517,70
1458758009,13.864933,72
1458758010,13.819047,72
1458758011,14.123230,72
1458758012,13.877666,72
1458758013,13.315384,75
1458758014,14.101086,71
1458758015,13.353473,74
1458758016,14.073014,72
1458758017,13.689099,73
1458758018,14.068567,71
1458758019,13.832264,72
1458758020,13.686878,73
1458758021,13.590140,73
1458758022,13.927479,72
1458758023,13.918922,72
1458758024,13.657182,73
1458758025,13.919118,72
1458758026,13.982157,72
1458758027,13.575393,73
1458758028,14.640285,68
1458758029,14.567641,69
1458758030,14.461059,69
1458758031,14.709048,68
1458758032,14.366614,70
1458758033,14.559020,69
1458758034,15.040686,66
1458758035,14.665600,68
1458758036,14.498657,69
1458758037,14.838379,68
1458758038,14.468431,68
1458758039,14.780222,68
1458758040,14.788698,68
1458758041,14.874125,67
1458758042,15.334760,65
1458758043,14.793220,68
1458758044,14.552412,69
1458758045,14.594760,68
1458758046,14.992780,67
1458758047,15.159743,66
1458758048,14.469426,69
1458758049,14.558078,69
1458758050,14.439460,69
1458758051,14.555094,68
1458758052,14.357290,70
1458758053,14.720750,68
1458758054,14.699572,68
1458758055,14.306599,70
1458758056,14.553462,69
1458758057,14.221859,69
1458758058,14.357799,71
1458758059,14.745305,67
1458758060,14.435995,70
1458758061,14.512829,69
1458758062,14.385706,69
1458758063,14.655376,68
1458758064,14.624003,69
1458758065,14.380439,69
1458758066,14.564326,69
1458758067,14.381413,69
1458758068,14.740198,68
1458758069,14.179022,71
1458758070,14.525842,68
1458758071,14.666354,69
1458758072,14.686562,68
1458758073,14.513091,69
1458758074,14.493422,69
1458758075,14.416273,69
1458758076,14.430840,69
1458758077,14.241981,70
1458758078,14.159602,70
1458758079,14.800965,69
1458758080,14.520017,68
1458758081,14.680912,68
1458758082,14.418563,70
