unix_ts,avg_latency_ms,throughput
1458758210,4.789226,186
1458758211,4.131589,242
1458758212,3.987953,251
1458758213,3.915353,255
1458758214,3.965879,252
1458758215,4.032202,248
1458758216,4.090296,244
1458758217,4.037908,248
1458758218,4.112774,243
1458758219,4.183339,239
1458758220,4.030403,248
1458758221,4.149093,241
1458758222,4.204760,237
1458758223,4.138998,242
1458758224,4.257727,235
1458758225,4.117293,242
1458758226,4.146554,242
1458758227,4.176817,239
1458758228,4.164437,240
1458758229,3.992785,250
1458758230,4.073229,246
1458758231,4.002408,250
1458758232,3.990761,250
1458758233,3.913927,255
1458758234,3.899313,257
1458758235,3.919834,255
1458758236,3.983447,251
1458758237,3.957203,252
1458758238,3.935565,254
1458758239,3.946656,253
1458758240,3.913849,255
1458758241,4.037766,248
1458758242,4.052787,247
1458758243,4.017194,249
1458758244,3.949235,253
1458758245,4.081005,245
1458758246,3.990436,250
1458758247,3.970216,252
1458758248,4.015676,249
1458758249,4.150025,241
1458758250,3.862334,259
1458758251,3.940316,253
1458758252,4.056539,247
1458758253,4.026287,248
1458758254,3.969140,252
1458758255,3.917845,255
1458758256,4.009763,249
1458758257,4.020293,249
1458758258,3.981662,251
1458758259,3.908148,256
1458758260,4.184107,239
1458758261,4.074213,245
1458758262,4.063379,246
1458758263,4.065349,246
1458758264,4.150924,241
1458758265,4.023873,248
1458758266,4.028415,248
1458758267,4.152186,241
1458758268,4.031817,247
1458758269,4.073485,246
1458758270,4.084103,245
1458758271,4.014782,249
1458758272,4.044972,247
1458758273,3.916666,255
1458758274,4.017109,249
1458758275,4.016886,248
1458758276,3.971770,253
1458758277,3.897483,256
1458758278,3.958817,253
1458758279,3.995109,250
1458758280,3.917178,255
1458758281,4.060308,246
1458758282,4.084639,245
1458758283,4.208938,238
1458758284,4.084174,243
1458758285,4.114634,244
1458758286,4.176942,239
1458758287,4.101346,244
1458758288,4.046960,247
1458758289,4.072871,246
1458758290,4.097023,244
1458758291,3.911112,255
1458758292,3.992028,251
1458758293,3.999506,250
1458758294,3.887116,256
1458758295,3.889672,258
1458758296,4.042237,247
1458758297,3.748549,267
1458758298,3.968088,252
1458758299,3.870928,258
1458758300,3.939936,253
1458758301,3.876201,258
1458758302,3.952261,253
1458758303,3.957485,253
1458758304,3.978839,251
1458758305,3.972425,252
1458758306,3.936039,253
1458758307,3.984645,252
1458758308,3.974545,251
1458758309,4.087391,244
1458758310,3.896087,257
1458758311,3.991511,251
1458758312,3.981807,251
1458758313,3.864494,257
1458758314,3.920874,256
1458758315,3.806467,263
1458758316,3.858181,259
1458758317,3.842732,260
1458758318,3.933893,254
1458758319,3.870572,258
1458758320,3.953919,253
1458758321,3.934619,254
1458758322,3.935712,254
1458758323,4.017857,249
1458758324,4.028784,248
1458758325,3.999869,250
1458758326,4.003171,250
1458758327,3.904352,255
1458758328,3.915966,256
1458758329,4.016300,249
1458758330,3.981045,251
1458758331,3.867649,258
1458758332,3.950961,253
1458758333,3.925029,255
1458758334,3.852057,259
1458758335,3.966249,252
1458758336,3.870773,259
1458758337,3.881352,257
1458758338,3.923027,255
1458758339,3.922315,255
1458758340,3.938421,254
1458758341,4.013858,248
1458758342,3.881126,258
1458758343,3.960223,253
1458758344,4.019154,247
1458758345,3.998292,251
1458758346,4.017591,249
1458758347,4.145868,241
1458758348,4.087841,245
1458758349,4.078985,245
1458758350,4.028250,248
1458758351,3.924442,254
1458758352,3.939981,254
1458758353,3.884444,258
1458758354,3.898393,256
1458758355,4.059333,246
1458758356,3.996278,250
1458758357,3.846479,260
1458758358,3.937091,254
1458758359,3.855881,259
1458758360,3.947745,253
1458758361,3.905064,257
1458758362,3.877393,257
1458758363,3.888712,257
1458758364,3.821698,262
1458758365,3.879412,258
1458758366,3.933015,254
1458758367,3.891979,257
1458758368,3.855500,259
1458758369,3.937312,254
1458758370,3.885055,257
1458758371,3.958796,253
1458758372,4.012905,249
1458758373,3.927952,254
1458758374,3.971393,252
1458758375,3.931662,254
1458758376,4.004699,250
1458758377,4.023374,248
1458758378,3.951039,253
1458758379,3.934769,254
1458758380,4.020033,249
1458758381,4.058826,246
1458758382,3.968413,252
1458758383,4.008949,249
1458758384,4.083833,245
1458758385,4.100045,244
1458758386,4.032812,248
1458758387,4.013850,249
1458758388,4.029555,248
1458758389,3.963621,252
1458758390,3.997617,250
1458758391,3.926358,255
1458758392,4.011298,248
1458758393,4.068534,246
1458758394,4.041716,248
1458758395,4.004739,250
1458758396,4.044540,247
1458758397,3.983535,251
1458758398,4.006870,249
1458758399,4.152957,241
1458758400,4.081987,245
1458758401,4.054846,246
1458758402,4.048621,247
1458758403,4.141723,241
1458758404,3.980093,252
1458758405,4.018044,249
1458758406,4.082388,244
1458758407,4.019941,249
1458758408,3.937056,254
1458758409,4.012690,234
